,Request: Request Number  ↑,Product,DOC ID,Question,extracted_sentence_1,keywords_1,Document_Name_1,DOC_ID_1,new_keywords_1,score_1,extracted_sentence_2,keywords_2,Document_Name_2,DOC_ID_2,new_keywords_2,score_2,extracted_sentence_3,keywords_3,Document_Name_3,DOC_ID_3,new_keywords_3,score_3,accuracy_old,accuracy_new
25,REQ-43590,Rybelsus,none,Can you lower the dose of metformin when you start a patient on Rybelsus?  Is there any data around this question that can be provided?,"{'dose', 'question', 'rybelsus', 'start', 'metformin', 'data', 'low'}","exercise,dosing,physical activity",Dosing-Impact of Exercise (OSEM 091) (v6.0),OSEM 091,",physical activity,dose,exercise",11.11111111,"{'dose', 'question', 'rybelsus', 'start', 'metformin', 'data', 'low'}","3 mg,initiation,starting,starter",3 mg Safety and Efficacy (OSEM 053) (v12.0),OSEM 053,",start,initiation,3 mg",11.11111111,"{'dose', 'question', 'rybelsus', 'start', 'metformin', 'data', 'low'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",10,not accurate,not accurate
26,REQ-43598,Ozempic,SEM 125,Ms penson asked for any on going study information with ozempic and the kidneys,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",16.66666667,"{'study', 'ozempic', 'information'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",12.5,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",glycemic,ozempic,early,control,initiation,initial,hyperglycemia,0.25,switching,semaglutide injection",8.333333333,not accurate,not accurate
27,,Ozempic,SEM 126,Ms penson asked for any on going study information with ozempic and the kidneys,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",16.66666667,"{'study', 'ozempic', 'information'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",12.5,"{'study', 'ozempic', 'information'}","ozempic,semaglutide injection,glycemic,control,0.25,initial,early,switching,initiation,hyperglycemia",Initial Glycemic Control (SEM 021) (v7.0),SEM 021,",glycemic,ozempic,early,control,initiation,initial,hyperglycemia,0.25,switching,semaglutide injection",8.333333333,not accurate,not accurate
28,REQ-43599,Saxenda,SEOB 049,What are the recommendations of switching patients from Saxenda to Wegovy.  Which wegovy dose is compatible/COMPARABLE  to Saxenda 3mg dose,"{'dose', 'wegovy', 'compatible', 'recommendation', 'switching'}","switching,switch,wegovy,semaglutide",Switching from GLP-1 RAs (SAX 102) (v5.0),SAX 102,",switching,semaglutide,wegovy,switch",28.57142857,"{'dose', 'wegovy', 'compatible', 'recommendation', 'switching'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",12.5,"{'dose', 'wegovy', 'compatible', 'recommendation', 'switching'}","mtc,men 2,anti-obesity,glp-1 ras,wegovy,saxenda,aom",MTC (Medullary Thyroid Carcinoma) (GOBS 003) (v1.0),GOBS 003,",wegovy,men 2,anti-obesity,saxenda,aom,glp-1 ras,mtc",9.090909091,not accurate,not accurate
29,REQ-43600,Ozempic,SEM 124,How do you transition a patient from Victoza to Ozempic?,"{'ozempic', 'victoza', 'transition'}","weight,victoza",Weight vs. Victoza (SEM 142) (v6.0),SEM 142,",weight,victoza",25,"{'ozempic', 'victoza', 'transition'}","structure,victoza",Structure vs Victoza  (SEM 129) (v6.0),SEM 129,",victoza,structure",25,"{'ozempic', 'victoza', 'transition'}","victoza,liraglutide,sustain 10",vs Victoza (SEM 116) (v11.0),SEM 116,",victoza,sustain 10,liraglutide",20,not accurate,not accurate
30,REQ-43601,Wegovy,SEOB 105,Customer requested links to Wegovy phase3b STEP trials.,"{'trial', 'wegovy', 'step', 'trials'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25,"{'trial', 'wegovy', 'step', 'trials'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'trial', 'wegovy', 'step', 'trials'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",t2d,forte,sustain,diabetes,step",12.5,not accurate,not accurate
31,,Wegovy,SEOB 108,Customer requested links to Wegovy phase3b STEP trials.,"{'trial', 'wegovy', 'step', 'trials'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25,"{'trial', 'wegovy', 'step', 'trials'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'trial', 'wegovy', 'step', 'trials'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",t2d,forte,sustain,diabetes,step",12.5,not accurate,not accurate
32,,Wegovy,SEOB 113,Customer requested links to Wegovy phase3b STEP trials.,"{'trial', 'wegovy', 'step', 'trials'}",step,Media-STEP 1 Video (SEOB 3001) (v1.0),SEOB 3001,",step",25,"{'trial', 'wegovy', 'step', 'trials'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",14.28571429,"{'trial', 'wegovy', 'step', 'trials'}","step,sustain,forte,diabetes,t2d",STEP 2 vs SUSTAIN FORTE (SEOB 057) (v1.0),SEOB 057,",t2d,forte,sustain,diabetes,step",12.5,not accurate,not accurate
33,REQ-43603,Ozempic,SEM 154,"Dr. Hart wants to know if there are any studies concerning prescribing Rybelsus or Ozempic for patients who have had gastric bypass surgery. If no studies, can you give any information for this type of patient.","{'ozempic', 'rybelsus', 'study', 'gastric bypass', 'gastric', 'dr', 'bypass', 'surgery', 'information'}","bariatric,gastric,bypass,sleeve,surgery",Bariatric Surgery (SEM 154) (v6.0),SEM 154,",sleeve,bariatric,gastric,bypass,surgery",27.27272727,"{'ozempic', 'rybelsus', 'study', 'gastric bypass', 'gastric', 'dr', 'bypass', 'surgery', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",8.333333333,"{'ozempic', 'rybelsus', 'study', 'gastric bypass', 'gastric', 'dr', 'bypass', 'surgery', 'information'}","surgery,operation,pre-op,npo,procedure,anesthesia",Surgery (SEM 160) (v4.0),SEM 160,",pre-op,anesthesia,operation,npo,surgery,procedure",7.142857143,accurate with one of docID,accurate with one of docID
34,,Ozempic,OSEM 092,"Dr. Hart wants to know if there are any studies concerning prescribing Rybelsus or Ozempic for patients who have had gastric bypass surgery. If no studies, can you give any information for this type of patient.","{'ozempic', 'rybelsus', 'study', 'gastric bypass', 'gastric', 'dr', 'bypass', 'surgery', 'information'}","bariatric,gastric,bypass,sleeve,surgery",Bariatric Surgery (SEM 154) (v6.0),SEM 154,",sleeve,bariatric,gastric,bypass,surgery",27.27272727,"{'ozempic', 'rybelsus', 'study', 'gastric bypass', 'gastric', 'dr', 'bypass', 'surgery', 'information'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",8.333333333,"{'ozempic', 'rybelsus', 'study', 'gastric bypass', 'gastric', 'dr', 'bypass', 'surgery', 'information'}","surgery,operation,pre-op,npo,procedure,anesthesia",Surgery (SEM 160) (v4.0),SEM 160,",pre-op,anesthesia,operation,npo,surgery,procedure",7.142857143,not accurate,not accurate
35,REQ-43605,Ozempic,SEM 125,"Patient with egfr of 12, can I put her on Ozempic?  Patient has type 2.  And on dialysis.","{'ozempic', 'type 2', 'dialysis', 'egfr', '2'}","renal,kidney,dialysis,esrd,gfr,egfr,creatinine,clearance,crcl,nephrotic,transplant",Renal Impairment (SEM 125) (v13.0),SEM 125,",clearance,kidney,nephrotic,esrd,dialysis,egfr,gfr,transplant,crcl,creatinine,renal",14.28571429,"{'ozempic', 'type 2', 'dialysis', 'egfr', '2'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",12.5,"{'ozempic', 'type 2', 'dialysis', 'egfr', '2'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",10,accurate with one of docID,accurate with one of docID
36,REQ-43607,Ozempic,SEM 012,Dr. Nosser wanted information about if a patient who had thyroid cancer and had their thyroid removed was eligible for Ozempic.,"{'ozempic', 'thyroid cancer', 'cancer', 'thyroid', 'dr', 'information'}","thyroid,neoplasms,carcinoma,cancer,thyroid cancer,ptc,papillary thyroid carcinoma,mtc,medullary thyroid carcinoma,men2,men 2,multiple endocrine neoplasia syndrome type 2,neoplasia,follicular thyroid cancer,ftc",Thyroid Neoplasms (SEM 016) (v10.0),SEM 016,",multiple endocrine neoplasia syndrome type 2,men 2,medullary thyroid carcinoma,men2,thyroid cancer,neoplasia,neoplasm,cancer,ptc,thyroid,mtc,follicular thyroid cancer,papillary thyroid carcinoma,carcinoma,ftc",16.66666667,"{'ozempic', 'thyroid cancer', 'cancer', 'thyroid', 'dr', 'information'}","neoplasms,cancer,neoplasm",Neoplasms  (SEM 134) (v7.0),SEM 134,",neoplasm,cancer",14.28571429,"{'ozempic', 'thyroid cancer', 'cancer', 'thyroid', 'dr', 'information'}","thyroid cancer,hypothyroidism,hyperthyroidism,goiter,thyroid,nodules,thyroidectomy,ptc,papillary thyroid carcinoma,mtc,medullary thyroid carcinoma,men2,men2,multiple endocrine neoplasia syndrome type 2",Thyroid Conditions (SEM 012) (v5.0),SEM 012,",nodules,hypothyroidism,multiple endocrine neoplasia syndrome type 2,medullary thyroid carcinoma,men2,thyroid cancer,hyperthyroidism,ptc,thyroid,mtc,goiter,papillary thyroid carcinoma,thyroidectomy",11.76470588,accurate with one of docID,not accurate
37,REQ-43608,Saxenda,SAX 062,“What if they had thyroid cancer but it is not medullary?,"{'thyroid', 'medullary', 'thyroid cancer', 'cancer'}","thyroid,thyroid neoplasms,mtc,men 2,calcitonin",Thyroid Neoplasms (SAX 018) (v1.0),SAX 018,",calcitonin,men 2,thyroid,thyroid neoplasms,mtc",12.5,"{'thyroid', 'medullary', 'thyroid cancer', 'cancer'}","cancer,tumor,oncology,neoplasm,carcinoma,breast",Breast Neoplasms (SAX 010) (v7.0),SAX 010,",breast,oncology,neoplasm,cancer,carcinoma,tumor",11.11111111,"{'thyroid', 'medullary', 'thyroid cancer', 'cancer'}","pancreas,cancer,pancreatic,tumor,oncology,neoplasm,carcinoma",Pancreatic Cancer (SAX 015) (v7.0),SAX 015,",pancreas,oncology,cancer,neoplasm,pancreatic,carcinoma,tumor",10,not accurate,not accurate
38,REQ-43610,Wegovy,SEOB 049,"Please e-mail HCP the following Med Info letter:
- SEOB 049 - Switching from Saxenda","{'switching', 'hcp'}","switch,convert,glp-1,glucagon-like peptide-1,glp,conversion,switching,dosing,saxenda,victoza,liraglutide,exenatide,byetta,bydureon,dulaglutide,trulicity,lixisenatide,adlyxin,ozempic,rybelsus",Switching to-from Other GLP-1 RAs (SEOB 121) (v2.0),SEOB 121,",glp-1,rybelsus,byetta,liraglutide,convert,switch,victoza,switching,ozempic,lixisenatide,bydureon,dulaglutide,dose,glucagon-like peptide-1,exenatide,saxenda,trulicity,conversion,glp,adlyxin",4.761904762,"{'switching', 'hcp'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,"{'switching', 'hcp'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",0,not accurate,accurate with one of docID
39,REQ-43612,Rybelsus,OSEM 005,All information on Rybelsus cv data and studies,"{'rybelsus', 'study', 'cardiovascular', 'data', 'information'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,indication,cardiovascular",25,"{'rybelsus', 'study', 'cardiovascular', 'data', 'information'}","soul,cardiovascular outcomes,cv,ongoing",Rybelsus and the SOUL Trial (OSEM 139) (v2.0),OSEM 139,",ongoing,cardiovascular,soul,cardiovascular outcomes",12.5,"{'rybelsus', 'study', 'cardiovascular', 'data', 'information'}","cardiovascular,cvot,pioneer 6,p6,pioneer",Media-PIONEER 6 Video (OSEM 3006) (v2.0),OSEM 3006,",pioneer 6,pioneer,cvot,cardiovascular",12.5,not accurate,not accurate
40,REQ-43613,Rybelsus,OSEM 069,Any information on Rybelsus and glp1’s and heartburn,"{'rybelsus', 'information'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",20,"{'rybelsus', 'information'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,indication,cardiovascular",16.66666667,"{'rybelsus', 'information'}","niosh,hazardous",NIOSH Classification (Sema) (SEM 300) (v6.0),SEM 300,",hazardous,niosh",0,not accurate,not accurate
41,REQ-43615,Wegovy,SEOB 122,Patient started on wegovy .25 now needs the .5 pen which is not available. 1.0 pen is. Is there a way to adjust 1.0 pen to give .5? Or just try to increase to 1.0 Pt says insurance won’t cover ozempic as alternative,"{'ozempic', 'wegovy', 'pen', 'available', 'insurance', 'cover'}","ozempic,versus,vs",vs Ozempic (SEOB 026) (v5.0),SEOB 026,",ozempic,versus,vs",12.5,"{'ozempic', 'wegovy', 'pen', 'available', 'insurance', 'cover'}","ozempic,switch,transition",Switching from Ozempic (SEOB 065) (v7.0),SEOB 065,",ozempic,transition,switch",12.5,"{'ozempic', 'wegovy', 'pen', 'available', 'insurance', 'cover'}","bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,",bariatric surgery,wegovy,anti-obesity medications,saxenda",11.11111111,not accurate,not accurate
42,REQ-43626,Norditropin,GHC 002,"Please email this info to the pharmacy: If unopened Norditropin® FlexPro® was left at room temperature (up to 77°F), it must be used within 3 weeks from the day it was left out. Unused portion should be discarded. Do not use past expiration date.Dr. OSCAR","{'room', 'room temperature', 'use', 'temperature', 'norditropin', '3', 'past'}","amcp,dossier,4 pg,norditropin",Norditropin Medicaid Summary-4 page (GHC 401) (v4.0),GHC 401,",4 pg,dossier,norditropin,amcp",10,"{'room', 'room temperature', 'use', 'temperature', 'norditropin', '3', 'past'}","amcp,summary,dossier,norditropin",Norditropin Medicaid Summary - 1 page (GHC 400) (v4.0),GHC 400,",dossier,norditropin,amcp,summary",10,"{'room', 'room temperature', 'use', 'temperature', 'norditropin', '3', 'past'}","in-use,storage,stability,expiration,fridge,frozen,freeze,heat,hot,refrigerate,refrigeration,refrigerator,stable,store,temp,temperature,unopen,unopened,warm,room,cool,stored",Storage and Stability (GHC 002) (v5.0),GHC 002,",room,unopen,stable,hot,refrigerator,fridge,freeze,heat,store,warm,cool,expiration,frozen,temperature,in-use,temp,stored,storage",8.695652174,accurate with one of docID,not accurate
43,REQ-43631,Rybelsus,OSEM 139,Asked to see information from the Rybelsus SOUL trial,"{'trial', 'rybelsus', 'soul', 'information'}","soul,cardiovascular outcomes,cv,ongoing",Rybelsus and the SOUL Trial (OSEM 139) (v2.0),OSEM 139,",ongoing,cardiovascular,soul,cardiovascular outcomes",14.28571429,"{'trial', 'rybelsus', 'soul', 'information'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",14.28571429,"{'trial', 'rybelsus', 'soul', 'information'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,indication,cardiovascular",12.5,accurate with one of docID,accurate with one of docID
44,REQ-43632,Rybelsus,SEOB 025,Are there any additional trials/data for weight management and Rybelsus used in the diabetes and/or obesity market.  Will Rybelsus have an indication for weight management?,"{'rybelsus', 'indication', 'trial', 'trials', 'data', 'weight', 'management', 'diabetes', 'obesity'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,indication,cardiovascular",16.66666667,"{'rybelsus', 'indication', 'trial', 'trials', 'data', 'weight', 'management', 'diabetes', 'obesity'}","gastrointestinal,gi,management,ae",Management of GI Adverse Events (GLP1 014) (v1.0),GLP1 014,",ae,management,gi",9.090909091,"{'rybelsus', 'indication', 'trial', 'trials', 'data', 'weight', 'management', 'diabetes', 'obesity'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",8.333333333,not accurate,not accurate
45,REQ-43634,Ozempic,SEM 105,Please send SUSTAIN 5 (SEM 105) per conversation on Ozempic add-on to basal insulin,"{'ozempic', 'basal insulin', 'insulin', 'basal', 'send', 'sustain'}","sustain,insulin,basal,glargine,degludec,lantus,tresiba,nph",Cover to SUSTAIN 5 (add on to basal insulin) (SEM 105) (v6.0),SEM 105,",glargine,insulin,degludec,basal,nph,sustain,lantus,tresiba",27.27272727,"{'ozempic', 'basal insulin', 'insulin', 'basal', 'send', 'sustain'}","basal,insulin,glargine,lantus",vs Basal insulin (SEM 113) (v7.0),SEM 113,",insulin,basal,glargine,lantus",25,"{'ozempic', 'basal insulin', 'insulin', 'basal', 'send', 'sustain'}","insulin,combination,glargine,degludec,tresiba,nph,lantus,basal,aspart,mdi,transition-t2d",Combination with Insulin (SEM 121) (v7.0),SEM 121,",combination,glargine,transition-t2d,insulin,degludec,mdi,basal,nph,aspart,lantus,tresiba",13.33333333,accurate with one of docID,accurate with one of docID
46,REQ-43635,Ozempic,SEM 004,Is there an ongoing study monitoring retinopathy. Were there patients that could not complete the study because of retinopathy.,"{'study', 'monitor', 'retinopathy', 'ongoing'}","retinopathy,eye,drc,diabetic retinopathy complications,diabetic retinopathy,blindness,blind,vitreous hemorrhage,retina,visual,microvascular",Retinopathy (SEM 004) (v16.0),SEM 004,",vitreous hemorrhage,diabetic retinopathy,drc,eye,microvascular,blind,visual,diabetic retinopathy complications,blindness,retina,retinopathy",7.142857143,"{'study', 'monitor', 'retinopathy', 'ongoing'}",excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,",excursion",0,"{'study', 'monitor', 'retinopathy', 'ongoing'}","niosh,hazardous",NIOSH Classification (Sema) (SEM 300) (v6.0),SEM 300,",hazardous,niosh",0,accurate with one of docID,accurate with one of docID
47,REQ-43638,Ozempic,SEM 139,Can Ozempic be used in patients with liver impairment including cirrhosis of the liver?,"{'liver', 'ozempic', 'impairment', 'cirrhosis'}","hepatic,liver,impairment,ast,alt,alanine aminotransferase,aspartate aminotransferase,hepatic enzymes",Hepatic Function and Impairment (SEM 139) (v8.0),SEM 139,",impairment,alt,ast,hepatic,hepatic enzymes,alanine aminotransferase,liver,aspartate aminotransferase",20,"{'liver', 'ozempic', 'impairment', 'cirrhosis'}","ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,",ozempic,drug,interaction,semaglutide injection",14.28571429,"{'liver', 'ozempic', 'impairment', 'cirrhosis'}","ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,",semaglutide,ozempic,glucose,fasting,fpg,preprandial",11.11111111,accurate with one of docID,accurate with one of docID
48,REQ-43640,Wegovy,SEOB 043,HCP has questions about the use of semaglutide in a patient on dialysis (PD) with a high insulin requirement.  Please send appropriate information if available,"{'semaglutide', 'hcp', 'insulin', 'dialysis', 'pd', 'use', 'available', 'high', 'send', 'information'}","t1d,type 1,insulin",Type 1 Diabetes (SEOB 054) (v1.0),SEOB 054,",insulin,t1d,type 1",8.333333333,"{'semaglutide', 'hcp', 'insulin', 'dialysis', 'pd', 'use', 'available', 'high', 'send', 'information'}","pharmacokinetics,pharmacodynamics,pk,pd",PK-PD (SEOB 076) (v1.0),SEOB 076,",pharmacodynamics,pharmacokinetics,pd",8.333333333,"{'semaglutide', 'hcp', 'insulin', 'dialysis', 'pd', 'use', 'available', 'high', 'send', 'information'}","hypoglycemia,glucose,sugar,sulfonylurea,insulin,secretagogue",Hypoglycemia (SEOB 022) (v5.0),SEOB 022,",glucose,sugar,insulin,secretagogue,hypoglycemia,sulfonylurea",6.666666667,not accurate,not accurate
49,REQ-43648,Rybelsus,OSEM 112,Physician asking how to administer Rybelsus in a patient who needs to take thyroid medication too.,"{'administer', 'medication', 'thyroid', 'rybelsus'}","safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,",safety,ae,ozempic,rybelsus",14.28571429,"{'administer', 'medication', 'thyroid', 'rybelsus'}","cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,",ozempic,rybelsus,semglutide,indication,cardiovascular",12.5,"{'administer', 'medication', 'thyroid', 'rybelsus'}","synthroid,thyroid,levothyroxine,t3,t4,tsh",DDI Levothyroxine (OSEM 112) (v15.0),OSEM 112,",levothyroxine,t4,synthroid,tsh,t3,thyroid",11.11111111,accurate with one of docID,not accurate
